"№ з/п","Повне найменування","Код суб'єкта управління","Назва суб'єкта управління","Організаційна форма cуб'єкта господарювання (зокрема державні підприємства - ДП, господарські товариства з КПД >50% - ГТ)"
"100","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ ЗІ СТВОРЕННЯ ПРЕЗИДЕНТСЬКОГО УНІВЕРСИТЕТУ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"101","ДЕРЖАВНЕ ПІДПРИЄМСТВО ЛЕГКОГО МАШИНОБУДУВАННЯ ""ЧЕРНІВЦІЛЕГМАШ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"102","ДОЧІРНЄ ПІДПРИЄМСТВО КИЇВСЬКОГО НАЦІОНАЛЬНОГО УНІВЕРСИТЕТУ ТЕХНОЛОГІЙ ТА ДИЗАЙНУ МАЛЕ НАУКОВО-ВИРОБНИЧЕ ВПРОВАДЖУВАЛЬНЕ ПІДПРИЄМСТВО ""ЕКМА""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"103","НАВЧАЛЬНО-НАУКОВИЙ ЗАКЛАД ВИЩОЇ ОСВІТИ ""ДОСЛІДНИЦЬКИЙ ЦЕНТР ЛЬВІВСЬКОЇ ПОЛІТЕХНІКИ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"104","ДОЧІРНЄ ПІДПРИЄМСТВО ""ВІКТОРІС"" СТРУКТУРНИЙ ПІДРОЗДІЛ КІРОВОГРАДСЬКОГО ФНМЦ ""СЕНСЕКО-ГАРМОНІЯ"" НДІ ПСИХОЛОГІЇ МНО УКРАЇНИ","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"105","ОДЕСЬКИЙ ДЕРЖАВНИЙ ЦЕНТР НАУКОВО-ТЕХНІЧНОЇ І ЕКОНОМІЧНОЇ ІНФОРМАЦІЇ","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"106","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БАЗОВИЙ ЦЕНТР КРИТИЧНИХ ТЕХНОЛОГІЙ ""МІКРОТЕК""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"107","ДЕРЖАВНЕ ІНВЕСТИЦІЙНО-БУДІВЕЛЬНЕ ГОСПРОЗРАХУНКОВЕ ПІДПРИЄМСТВО ""ІНВЕСТБУД-3000""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"108","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ ДЕРЖАВНИЙ ЦЕНТР МІЖНАРОДНОЇ ОСВІТИ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"109","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНФОРМАЦІЙНО-ІМІДЖЕВИЙ ЦЕНТР""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"110","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНФОРЕСУРС""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"111","ДЕРЖАВНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ФОНД ПРЕЗИДЕНТА УКРАЇНИ З ПІДТРИМКИ ОСВІТИ, НАУКИ ТА СПОРТУ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"112","ДЕРЖАВНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ УНІВЕРСИТЕТ ""КИЇВСЬКИЙ АВІАЦІЙНИЙ ІНСТИТУТ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"113","ДЕРЖАВНА ІННОВАЦІЙНА ФІНАНСОВО-КРЕДИТНА УСТАНОВА","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"114","ДОЧІРНЄ ПІДПРИЄМСТВО ДЕРЖАВНОЇ КОМПАНІЇ ""УКРСПЕЦЕКСПОРТ"" ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНА ЗОВНІШНЬОТОРГОВЕЛЬНА ФІРМА ""ПРОГРЕС""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"115","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛЬВІВСЬКИЙ ВІЙСЬКОВИЙ ЛІСОКОМБІНАТ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"116","55 УПРАВЛІННЯ НАЧАЛЬНИКА РОБІТ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"117","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""КИЇВСЬКА КОНТОРА МАТЕРІАЛЬНО-ТЕХНІЧНОГО ЗАБЕЗПЕЧЕННЯ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"118","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЧЕРКАСЬКЕ ВІЙСЬКОВЕ ЛІСНИЦТВО""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"119","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ОДЕСЬКИЙ ПРОЕКТНИЙ ІНСТИТУТ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"120","ДЕРЖАВНЕ ПІДПРИЄМСТВО ГРОМАДСЬКОГО ХАРЧУВАННЯ РЕСТОРАН ""КОЗАЦЬКИЙ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"121","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ЦЕНТРАЛЬНИЙ ПРОЕКТНИЙ ІНСТИТУТ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"122","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ЛЬВІВСЬКИЙ ЗАВОД ЗБІРНИХ КОНСТРУКЦІЙ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"123","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІВАНО-ФРАНКІВСЬКИЙ ВІЙСЬКОВИЙ ЛІСПРОМКОМБІНАТ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"124","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""703 МЕТАЛООБРОБНИЙ ЗАВОД КОТЕЛЬНОГО ОБЛАДНАННЯ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"125","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ХАРКІВСЬКА КОНТОРА МАТЕРІАЛЬНО-ТЕХНІЧНОГО ЗАБЕЗПЕЧЕННЯ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"126","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЧЕРКАСЬКИЙ АВТОМОБІЛЬНИЙ РЕМОНТНИЙ ЗАВОД""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"127","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ КИЇВСЬКЕ УПРАВЛІННЯ МЕХАНІЗАЦІЇ І БУДІВНИЦТВА","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"128","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ОДЕСЬКИЙ ЗАВОД БУДІВЕЛЬНИХ МАТЕРІАЛІВ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"129","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""БІЛОЦЕРКІВСЬКИЙ ВІЙСЬКОВИЙ ТОРГ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"130","643 УПРАВЛІННЯ НАЧАЛЬНИКА РОБІТ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"131","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛЬВІВСЬКЕ БУДІВЕЛЬНО-МОНТАЖНЕ УПРАВЛІННЯ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"132","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ХАРКІВСЬКИЙ ЗАВОД ЗАЛІЗОБЕТОННИХ ВИРОБІВ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"133","26 ВІДДІЛ ВІЙСЬКОВОЇ ТОРГІВЛІ ЦЕНТРАЛЬНОГО УПРАВЛІННЯ ВІЙСЬКОВОЇ ТОРГІВЛІ ТИЛУ ЗБРОЙНИХ СИЛ УКРАЇНИ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"134","ДЕРЖАВНЕ ПІДПРИЄМСТВО КИЇВСЬКИЙ МЕХАНІЧНИЙ ЗАВОД МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"135","ДЕРЖАВНЕ ПІДПРИЄМСТВО ВІЙСЬКТОРГ 394 УПРАВЛІННЯ ТОРГІВЛЯ КИЇВСЬКОГО ВІЙСЬКОВОГО ОКРУГУ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"136","ДЕРЖАВНЕ ПІДПРИЄМСТВО НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ РАДІОСИСТЕМ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"137","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ-ЧЕРНІВЕЦЬКИЙ МЕТАЛООБРОБНИЙ ЗАВОД","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"138","ВІЙСЬКОВИЙ РАДГОСП ""ПІВДЕННИЙ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"139","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""КИЇВСЬКЕ УПРАВЛІННЯ НАЧАЛЬНИКА РОБІТ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"140","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ ЦЕНТР ""БЕЗПЕКА""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"141","БІЛОЦЕРКІВСЬКИЙ КОМБІНАТ ПОБУТОВОГО ОБСЛУГОВУВАННЯ ЦЕНТРАЛЬНОГО УПРАВЛІННЯ ВІЙСЬКОВОЇ ТОРГІВЛІ ТИЛУ ЗБРОЙНИХ СИЛ УКРАЇНИ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"142","ДЕРЖАВНА КОМПАНІЯ З ЕКСПОРТУ ТА ІМПОРТУ ПРОДУКЦІЇ І ПОСЛУГ ВІЙСЬКОВОГО ТА СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ ""УКРСПЕЦЕКСПОРТ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"143","ДЕРЖАВНЕ ПІДПРИЄМСТВО ЦЕНТРАЛЬНИЙ КОМБІНАТ ПОБУТОВОГО ОБСЛУГОВУВАННЯ ЦЕНТРАЛЬНОГО УПРАВЛІННЯ ВІЙСЬКОВОЇ ТОРГІВЛІ ТИЛУ ЗБРОЙНИХ СИЛ УКРАЇНИ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"144","ЛЬВІВСЬКА ДЕРЖАВНА ТОРГІВЕЛЬНО-ЗАКУПІВЕЛЬНА БАЗА МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"145","ДЕРЖАВНЕ ПІДПРИЄМСТВО ОДЕСЬКИЙ ДЕРЕВООБРОБНИЙ КОМБІНАТ МО УКРАЇНИ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"146","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ВІЙСЬКОВИЙ ДЕРЕВООБРОБНИЙ ЗАВОД""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"147","КОМБІНАТ ГРОМАДСЬКОГО ХАРЧУВАННЯ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"148","ВІЙСЬКОВИЙ МАГАЗИН ""АВТОМОБІЛІ"" ЦЕНТРАЛЬНОГО УПРАВЛІННЯ ВІЙСЬКОВОЇ ТОРГІВЛІ ТИЛУ ЗБРОЙНИХ СИЛ УКР.","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"149","ОДЕСЬКИЙ ОКРУЖНИЙ ВІЙСЬКОВИЙ УНІВЕРМАГ ЦЕНТРАЛЬНОГО УПРАВЛІННЯ ВІЙСЬКОВОЇ ТОРГІВЛІ ТИЛУ ЗБРОЙНИХ СИЛ УКРАЇНИ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"150","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ЛЬВІВСЬКЕ БУДІВЕЛЬНЕ УПРАВЛІННЯ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"151","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""УКРВІЙСЬКБУД""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"152","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ "" ЗАХІДВІЙСЬКБУД""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"153","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КОНТОРА МАТЕРІАЛЬНО-ТЕХНІЧНОГО ЗАБЕЗПЕЧЕННЯ ""УКРВІЙСЬКБУДУ"" МО УКРАЇНИ В М.ХАРКОВІ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"154","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ХАРКІВСЬКЕ УПРАВЛІННЯ НАЧАЛЬНИКА РОБІТ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"155","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""УКРЕКОБІЗНЕС""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"156","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОМОУПРАВЛІННЯ АРТЕМІВСЬКОГО ГАРНІЗОНУ "" МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"157","УСТАНОВА ""28 УПРАВЛІННЯ НАЧАЛЬНИКА РОБІТ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"158","ДЕРЖАВНЕ ПІДПРИЄМСТВО ЧЕРНІГІВСЬКИЙ ВІЙСЬКОВИЙ ЛІСГОСП","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"159","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ПІВДЕНЬВІЙСЬКБУД""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"160","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""МОНТАЖНИК-УКРАЇНА""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"161","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ХАРКІВСЬКЕ УПРАВЛІННЯ МЕХАНІЗАЦІЇ ТА БУДІВНИЦТВА""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"162","БУДИНКОУПРАВЛІННЯ №1 10 ВІДДІЛЕННЯ МОРСЬКОЇ ІНЖЕНЕРНОЇ СЛУЖБИ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"163","1 УПРАВЛІННЯ НАЧАЛЬНИКА РОБІТ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"164","СХІДНЕ УПРАВЛІННЯ КАПІТАЛЬНОГО БУДІВНИЦТВА МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"165","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""КИЇВСЬКЕ УПРАВЛІННЯ МЕХАНІЗАЦІЇ І БУДІВНИЦТВА""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"166","ДОЧІРНЄ ПІДПРИЄМСТВО ДЕРЖАВНОЇ КОМПАНІЇ ""УКРСПЕЦЕКСПОРТ""-ДЕРЖАВНЕ ГОСПРОЗРАХУНКОВЕ ЗОВНІШНЬОТОРГІВЕЛЬНЕ ПІДПРИЄМСТВО ""СПЕЦТЕХНОЕКСПОРТ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"167","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КОНВЕРСЕНЕРГОПРОМ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"168","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""УКРАЇНСЬКА ДОРОЖНЬО-ТРАНСПОРТНА КОМПАНІЯ ""ВОЄНКОНВЕРС-43""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"169","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""МОНТАЖНИК-ЛЬВІВ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"170","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРСПЕЦКОНВЕРСІЯ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"171","ЦЕНТРАЛЬНЕ СПЕЦІАЛІЗОВАНЕ БУДІВЕЛЬНЕ УПРАВЛІННЯ (ГОСПРОЗРАХУНКОВЕ)","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"172","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР КОНСАЛТИНГУ ТА ДІЛОВОГО СПІВРОБІТНИЦТВА""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"173","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНВЕСТЖИТЛО""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"174","КОНСОРЦІУМ ""ВІЙСЬКОВО - БУДІВЕЛЬНА ІНДУСТРІЯ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"175","КОНЦЕРН ""ТЕХВОЄНСЕРВІС""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"176","КОНЦЕРН ""ВІЙСЬКТОРГСЕРВІС""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"177","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УЖГОРОДСЬКЕ ВІЙСЬКОВЕ ЛІСНИЦТВО""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"178","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ОБОРОНАВТОРЕМСЕРВІС""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"179","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЧЕРНІВЕЦЬКЕ ВІЙСЬКОВЕ ЛІСНИЦТВО""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"180","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МОСТИСЬКЕ ВІЙСЬКОВЕ ЛІСНИЦТВО""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"181","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СКОЛІВСЬКИЙ ВІЙСЬКОВИЙ ЛІСГОСП""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"182","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШЕПЕТІВСЬКИЙ ВІЙСЬКОВИЙ ЛІСГОСП""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"183","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРИКАРПАТСЬКИЙ ВІЙСЬКОВИЙ ЛІСГОСП""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"184","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СТАРИЦЬКИЙ ВІЙСЬКОВИЙ ЛІСГОСП""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"185","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ЦЕНТРАЛЬНИЙ РЕМОНТНИЙ ЗАВОД ЗАСОБІВ ЗВ'ЯЗКУ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"186","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""НАУКОВИЙ ЦЕНТР""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"187","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВОЛИНСЬКИЙ ВІЙСЬКОВИЙ ЛІСГОСП""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"188","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МАГЕРІВСЬКИЙ ВІЙСЬКОВИЙ ЛІСГОСП""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"189","ДЕРЖАВНЕ ПІДПРИЄМСТВО ЯВОРІВСЬКИЙ ВІЙСЬКОВИЙ ЛІСГОСП","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"190","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""АГЕНЦІЯ ОБОРОННИХ ЗАКУПІВЕЛЬ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"191","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ДЕРЖАВНИЙ ОПЕРАТОР ТИЛУ""","14084","МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ","ДП"
"192","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНФОРМАЦІЙНО-ОБЧИСЛЮВАЛЬНИЙ ЦЕНТР МІНІСТЕРСТВА СОЦІАЛЬНОЇ ПОЛІТИКИ УКРАЇНИ""","17074","МІНІСТЕРСТВО СОЦІАЛЬНОЇ ПОЛІТИКИ, СІМ’Ї ТА ЄДНОСТІ УКРАЇНИ","ДП"
"193","ДЕРЖАВНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР КОМПЛЕКСНОЇ РЕАБІЛІТАЦІЇ ""ГАЛИЧИНА""","17074","МІНІСТЕРСТВО СОЦІАЛЬНОЇ ПОЛІТИКИ, СІМ’Ї ТА ЄДНОСТІ УКРАЇНИ","ДП"
"194","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ ДИТЯЧИЙ ЦЕНТР ""МОЛОДА ГВАРДІЯ""","17074","МІНІСТЕРСТВО СОЦІАЛЬНОЇ ПОЛІТИКИ, СІМ’Ї ТА ЄДНОСТІ УКРАЇНИ","ДП"
"195","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНФОРМАЦІЙНЕ АГЕНТСТВО ""РЕ-ІНФОРМ""","17074","МІНІСТЕРСТВО СОЦІАЛЬНОЇ ПОЛІТИКИ, СІМ’Ї ТА ЄДНОСТІ УКРАЇНИ","ДП"
"196","ДЕРЖАВНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""АГЕНЦІЯ НАЦІОНАЛЬНОЇ ЄДНОСТІ""","17074","МІНІСТЕРСТВО СОЦІАЛЬНОЇ ПОЛІТИКИ, СІМ’Ї ТА ЄДНОСТІ УКРАЇНИ","ДП"
"197","ДЕРЖАВНЕ ПІДПРИЄМСТВО -""ГОЛОВНЕ УПРАВЛІННЯ КОМПЛЕКСНОГО ОБСЛУГОВУВАННЯ І БУДІВНИЦТВА ОБ'ЄКТІВ ДИПЛОМАТИЧНОЇ СЛУЖБИ""","17124","МІНІСТЕРСТВО ЗАКОРДОННИХ СПРАВ УКРАЇНИ","ДП"
